分类: 📡卫视频道, 名称: 江西卫视, 有效: 0, IPv4: 8, IPv6: 0, 最小延迟: 10442 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 10818 ms, 最高速率: 0.31 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 788 ms, 最高速率: 5.29 M/s, 平均速率: 5.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 791 ms, 最高速率: 5.43 M/s, 平均速率: 5.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 2754 ms, 最高速率: 1.77 M/s, 平均速率: 1.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 2420 ms, 最高速率: 0.98 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 2688 ms, 最高速率: 2.44 M/s, 平均速率: 2.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 山西卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 10730 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 1159 ms, 最高速率: 4.22 M/s, 平均速率: 4.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 2, IPv4: 8, IPv6: 0, 最小延迟: 1000 ms, 最高速率: 4.37 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
